perfume_id,name,price,description,rate,rating_count,image,brand,brandid,gender,product_type,character_x,fragrance_family,size,year,ingredients,concentration,top_note,middle_note,base_note,source,language,file_format,image_resolution,data_source_url,status,created,created_by,updated,updated_by,last_verified
cd26e215-38cd-496b-8336-4bf7dc442134,Dolce & Gabanna L'imperatrice 3 Pour Femme,199,"Perfume for the energetic woman who is a hero in her movie in life every day! It keeps you vibrant and sparkling with irresistible attractiveness, a combination of kiwi, lemon and sandalwood.
About the brand:
Dolce & Gabbana was established in 1985 by two Italian fashion designers. Dolce & Gabbana has not only managed to build a loyal customer base in such a short span of time but it also partnered with Motorola and Sony Ericson for multiple campaigns. D&G has also partnered with football clubs namely AC Milan and Chelsea FC.",5,6 Rating,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/4/3423473020615-dolce-_-gabbana-l_imperatrice-01_1_.png,Dolce&Gabbana,110,Women,Perfume,Romantic,Floral,100 ml,2009.0,"Watermerlon, Kiwi, Pink Cyclamen, Musk, Pink Pepper, Jasmine, Sandalwood, Lemon Tree",Eau de Toilette,"Pink pepper, kiwi, rhubarb","jasmine, cyclamen, watermelon","musk, sandalwood, lemon trees.",perfume_recommender_dataset,en,png,750x750,https://raw.githubusercontent.com/rawanalqarni/Perfumes_Recommender/main/Datasets/Dataset.csv,active,2025-07-10,Maximilian.Wilke,2025-07-10,Maximilian.Wilke,2025-07-10 14:47:13
9821ec66-29d6-4165-8708-671a83a69df2,Roberto Cavalli Paradiso,169,"Woody floral fragrance, a subtle aroma that makes you feel fresh with a stunning blend of citrus, jasmine, and cypress.
About the brand:
Browse a wide range of original Roberto Cavalli perfumes, straight outta Italy. It would be safe to say that Roberto Cavalli has been successful in preserving its heritage and legacy.",4.95,17 Rating,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3607347733423c-roberto-cavalli-paradiso---75-ml.jpg,Roberto Cavalli,312,Women,Perfume,Romantic,Woody,50 ml,2015.0,"Citrus, mandarin, bergamot, jasmine, pine, cypress, laurel.",Eau de Parfum,"Citruses , Mandarin , Bergamot",Jasmine,"Cypress, Parasol pine, Pink laurel",perfume_recommender_dataset,en,png,750x750,https://raw.githubusercontent.com/rawanalqarni/Perfumes_Recommender/main/Datasets/Dataset.csv,active,2025-07-10,Maximilian.Wilke,2025-07-10,Maximilian.Wilke,2025-07-10 14:47:13
326003d5-9703-417b-9176-7493c49b4369,Yves Saint Laurent Libre,389,"This perfume is a reflection of Freedom, specially designed for bold women, for those who live by their own rules, to enjoy the unique fusion of French lavender & orange blossoms from Morrocco. A statement of freedom with an additional whiff of daring musky notes.
About the brand:
Yves Saint Laurent is a French design house, that was founded in 1961 by Yves Saint Laurent & his partner, Pierre BergÃƒÂ©. It has been known as one of the most iconic design houses, thanks to its modern designs. It produces clothes, shoes, jewelry, in addition to luxurious fragrances.",5,3 Rating,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3614272648418c-yves-saint-laurent-libre---90-ml_1_.jpg,Yves Saint Laurent,383,Women,Perfume,Romantic,Floral,90 ml,2019.0,"Mandarin Orange, lavendar, black currant, petitgrain, jasmine, orange blossom, vanilla, cedar, musk, ambergris",Eau de Parfum,"Mandarin Orange, Lavendar, Black Currant, Petitgrain","Jasmine, Orange Blossom","Vanilla, Cedar, Musk, Ambergris",perfume_recommender_dataset,en,png,750x750,https://raw.githubusercontent.com/rawanalqarni/Perfumes_Recommender/main/Datasets/Dataset.csv,active,2025-07-10,Maximilian.Wilke,2025-07-10,Maximilian.Wilke,2025-07-10 14:47:13
5e3afbf2-a0af-4350-9278-a95679e0f7ed,Mancera Red Tobacco,499,"Mancera Red Tobacco is the new oriental, woody fragrance for men and women. Its the best oriental scent, full of life and attractiveness. This perfume contains a very high quality ingredients. A must have perfume!:
About the brand:
Mancera is a famous brand that produces a wide range of captivating range of feminine and masculine fragrances. You just have to do nothing when you wear a Mancera perfume; you automatically impress others. :",4.38,8 Rating,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3607347733423c-mancera-red-tobacco---120-ml.jpg,Mancera,235,Women,Perfume,Romantic,Oriental,120 ml,2017.0,"Saffron, Cinnamon, Incense, Nutmeg, White Peach, Green Apple & Nepalese Oud, Leaves of Patchouli, delicate Jasmine, Precious Tobacco, Amber, Woody Notes, Vetiver, Vanilla Pods, White Musk.",Eau de Parfum,"Saffron, Cinnamon, Incense, Nutmeg, White peach, Green apple, Nepalese","Patchouli, Jasmine","Tobacco, Amber, Woody notes, Vetiver, Vanilla, White musk",perfume_recommender_dataset,en,png,750x750,https://raw.githubusercontent.com/rawanalqarni/Perfumes_Recommender/main/Datasets/Dataset.csv,active,2025-07-10,Maximilian.Wilke,2025-07-10,Maximilian.Wilke,2025-07-10 14:47:13
8fbc11bc-404c-4137-b14c-f9524335ceb0,Giorgio Armani Emporio Armani Stronger With You Intensely,399,"for every romantic gentle man, This strong fascinating fragrance is for you. It was released to capture all people hearts from the first smell to tell a story of an outstanding emotional man who is deeply in love and is ready to do anything for their lovers.
About the brand:
Girogio Armani has no competition when it comes to quality fragrances and perfumes for men and women. With an annual turnover of $1.6 billion as of 2017, Armani specializes in ready-to-wear, accessories, glasses, cosmetics, and perfumes. It is one of the most popular brands that have stopped using animal fur in their products.",5,3 Rating,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3614272225718-giorgio-armani-emporio-armani-stronger-with-you-intensely.jpg,Giorgio Armani,144,Men,Perfume,Romantic,Aromatic,100 ml,2019.0,"Spices, Violet, Lavender, Sweet Toffee, Caramel, Cinnamon, Suede, Vanilla, Amber",Eau de Parfum,"Pink pepper, Juniper, Violet leaf","Lavender, Sage, Toffee, Cinnamon","Tonka bean, Suede, Amber, Vanilla",perfume_recommender_dataset,en,png,750x750,https://raw.githubusercontent.com/rawanalqarni/Perfumes_Recommender/main/Datasets/Dataset.csv,active,2025-07-10,Maximilian.Wilke,2025-07-10,Maximilian.Wilke,2025-07-10 14:47:13
42cce07e-7ca0-4f21-8aa9-f857bc774628,Versace Eros Pour Femme EDP,229,"A woody floral fragrance, embodying love and beauty for the Greeks, that lasts long and is made of a blend of high-quality notes of peony, sensual wood, musk, and jasmine.
About the brand:
Versace deserves no introduction. It produces luxury Italian-made ready-to-wear and leather accessories. Versace has also succeeded in introducing and promoting a wide variety of perfumes for men and women.",4.79,7 Rating,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/v/e/versace-eros_pour_femme_1.jpg,Versace,368,Women,Perfume,Sophisticated,Woody,100 ml,2014.0,"sicilian lemon, calabrian bergamot, pomegranate, lemon flower, sambac jasmine, jasmine infusion, peony, sandlewood, ambrox, musks, sensual wood.",Eau de Parfum,"Sicilian lemon, Calabrian bergamot, Pomegranate","lemon, sambac jasmine, peony","Sandalwood, Ambrox, Musk,woods",perfume_recommender_dataset,en,png,750x750,https://raw.githubusercontent.com/rawanalqarni/Perfumes_Recommender/main/Datasets/Dataset.csv,active,2025-07-10,Maximilian.Wilke,2025-07-10,Maximilian.Wilke,2025-07-10 14:47:13
c4a48373-7fec-4138-aeea-4213c23bdd5e,Roberto Cavalli Florence,167,"A chypre floral fragrance inspired by the city of Florence that known of its historical, artistic and cultural beauty, with a mixture of mandarin, grapefruit, patchouli, and amber.
About the brand:
Browse a wide range of original Roberto Cavalli perfumes, straight outta Italy. It would be safe to say that Roberto Cavalli has been successful in preserving its heritage and legacy.",4.83,5 Rating,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3614223519576c-roberto-cavalli-florence---75-ml.jpg,Roberto Cavalli,312,Women,Perfume,Romantic,Floral,50 ml,2016.0,"Mandarin, Orange, Black Currant, Orange Blossom, Grapefruit Blossom, Patchouli, Musk, Amber",Eau de Parfum,"Mandarin, Orange","Black Currant, Orange Blossom, Grapefruit Blossom"," Patchouli, Musk, Amber",perfume_recommender_dataset,en,png,750x750,https://raw.githubusercontent.com/rawanalqarni/Perfumes_Recommender/main/Datasets/Dataset.csv,active,2025-07-10,Maximilian.Wilke,2025-07-10,Maximilian.Wilke,2025-07-10 14:47:13
df223aab-784b-479f-b9d2-8108749f6495,Xerjoff Casamorati La Tosca,1403,"XERJOFF Casamorati La Tosca Perfume an amazing for women, such perfect works of art! You will adore this glorious, elegant, charming perfume completely!",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/0/8033488154585-xerjoff-casamorati-la-tosca.png,Xerjoff,381,Women,Perfume,Feminine,Floral,100 ml,2015.0,"Violet Leaf, Eucalyptus, Musk, Patchouli, Green Mandarin, Italian Lemon, Rose, Amber, Vanilla",Eau de Parfum,"Violet Leaf, Eucalyptus, Musk","Patchouli, Green Mandarin","Italian Lemon, Rose, Amber, Vanilla",perfume_recommender_dataset,en,png,750x750,https://raw.githubusercontent.com/rawanalqarni/Perfumes_Recommender/main/Datasets/Dataset.csv,active,2025-07-10,Maximilian.Wilke,2025-07-10,Maximilian.Wilke,2025-07-10 14:47:13
c087ad39-abcd-4aba-a3b5-f6a995d3046b,Chopard Oud Malaki,295,"Composition of the new fragrance CHOPARD OUD MALAKI offers luminous accords of grapefruit in the very top of the composition, along with aromatic blend of artemisia and lavender. The heart accentuates masculinity with leather accords combined with tobacco and spices, while base notes highlight oriental notes with a combination of oud, ambergris and mysterious, dark, woody notes..",4.88,5 Rating,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_chopard_perfumes_oud_malaki_eau_de_parfum_80ml.jpg,Chopard,87,Unisex,Perfume,Charismatic,Oriental,80 ml,2012.0,"Grapefruit, Lavender, Artemisia, Leather, Spices, Tobacco, Amber, Dark Wood, Agarwood",Eau de Parfum,"Grapefruit, lavender, artemisia","Leather, spices, tobacco","Amber, dark woods, oud",perfume_recommender_dataset,en,png,750x750,https://raw.githubusercontent.com/rawanalqarni/Perfumes_Recommender/main/Datasets/Dataset.csv,active,2025-07-10,Maximilian.Wilke,2025-07-10,Maximilian.Wilke,2025-07-10 14:47:13
8eafa331-fd44-41b5-8fb1-48b6cd2b898b,Uniqo Tempesta EDP - 100 ml,110,"A unique scent inspired by the magnetic force of Tempesta (Storm in Italian). This life-shifting power, chaotic yet undescribable with its' blend of marine accords, bay leaf & ambergris.
About the brand:
Every dot matters & every characteristic in us is unique! UNIQO is an Italian inspired brand, that celebrates uniqueness by bringing the most enchanting moments & rare elements into life in every single bottle.",5,1 Rating,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/u/n/uniqo-tempesta.png,Uniqo,360,Men,Perfume,Romantic,Aromatic,100 ml,2019.0,"Marine Accords, Bay Leaf, Ambergris",Eau de Parfum,Marine Accords,Bay Leaf,Ambergris,perfume_recommender_dataset,en,png,750x750,https://raw.githubusercontent.com/rawanalqarni/Perfumes_Recommender/main/Datasets/Dataset.csv,active,2025-07-10,Maximilian.Wilke,2025-07-10,Maximilian.Wilke,2025-07-10 14:47:13
